ID;Type;Pour;Titre;Ce qu'on attend;Format;Ou le poser;Priorite;Statut;Note de Guillaume
BG-001;Son;Mission 1;« This is not meth »;La replique de Walt quand il jette le cristal sur le bureau de Tuco. Elle etait annoncee dans le prompt mais absente du dossier.;WAV 44,1 kHz mono;livraisons/sons/;Haute;A faire;
BG-002;Son;Mission 1;Coups de feu au revolver;3 a 4 variantes d'un meme .38. Un jeu en tire une au hasard a chaque tir. Actuellement synthetises, ca s'entend.;WAV, 3-4 fichiers;livraisons/sons/;Haute;A faire;
BG-003;Son;Mission 1;Fusillade;La rafale quand les hommes de Tuco tirent de partout. Une dizaine de coups sur 2-3 s, plusieurs armes, pas de rythme regulier.;WAV, 1 fichier;livraisons/sons/;Haute;A faire;
BG-004;Son;Mission 1;Explosion du fulminate;La claque quand le cristal touche le sol. Grave, avec du souffle. Actuellement synthetisee.;WAV, 1 fichier;livraisons/sons/;Haute;A faire;
BG-005;Voix;Mission 1;Dialogues de la mission 1;9 conversations : l'appel de l'homme de Tuco, Jesse chez lui, Jesse au camping-car, Jesse occupe, la botte secrete, Jesse pret, le garde, la vente a Tuco, les menaces. Textes dans game/donnees/dialogues.json, cles mission_*.;WAV ou MP3, un fichier par replique;livraisons/voix/;Moyenne;A faire;
BG-006;Animation;Walter;Un vrai cycle de trot;Le modele porte Walking et Running. Le trot joue le clip de course ralenti : ca tient, mais un vrai trot les separerait. Meme rig, meme longueur de cycle.;GLB avec le clip nomme « Trot »;livraisons/modeles/;Moyenne;A faire;
BG-007;Animation;Figurants;Marche des figurants;Le pack people_freePack ne contient AUCUNE marche : son unique clip de 200 images est une attente debout (mesure). Sans marche, ils ne peuvent pas remplacer les passants.;GLB, ou accord pour que je reporte la marche de Walter sur leur squelette;livraisons/modeles/figurants/;Haute;A faire;
BG-008;Modele;Mission 1;Tuco Salamanca;Livre le 26/07. A integrer : il remplace le corps de passant utilise pour l'instant dans le bureau.;GLB rigge;livraisons/modeles/tuco.glb;Haute;Livre - a integrer;
BG-009;Modele;Mission 1;Jesse Pinkman;Livre le 26/07. A integrer : il remplace le Jesse genere, chez lui et au camping-car.;GLB rigge;livraisons/modeles/jesse.glb;Haute;Livre - a integrer;
BG-010;Modele;Mission 1;Les hommes de main de Tuco;Le garde de l'entree et les trois du bureau. Ils empruntent les corps des passants. Deux silhouettes suffiraient.;GLB rigge;livraisons/modeles/;Basse;A faire;
BG-011;Modele;Ville;Ameliorer l'Aztek;Plus vivante, plus belle, plus realiste. Demande du 26/07, pas commencee de mon cote.;A discuter;livraisons/modeles/;Basse;A faire;
BG-012;Modele;Divers;Meshy Gentleman;"Depose le 26/07, jamais traite. Dis-moi a quoi il doit servir et je l'integre ; sinon on le retire du depot.";-;livraisons/modeles/meshy_gentleman.obj;Basse;En attente d'info;
BG-013;Son;Ville;Pas des pietons;Les passants marchent en silence. Le joueur, lui, a quinze variantes. Une rue muette de pietons s'entend.;WAV, 3-4 variantes;livraisons/sons/pas/;Basse;A faire;
BG-014;Son;Mission 1;Ambiances des nouveaux lieux;Une boucle pour l'interieur du camping-car (ventilateur, bouillonnement) et une pour le bureau de Tuco (etouffe, lointain).;OGG en boucle;livraisons/sons/ambiance/;Basse;A faire;
BG-015;Info;Mission 2;Le deroule de la mission suivante;Meme forme que briefs/mission-1.txt : les grandes etapes, puis le detail. Avec des references visuelles si de nouveaux decors sont prevus.;TXT ou DOCX;livraisons/briefs/;Moyenne;A faire;
